archetype,tariff,scenario,year,annual_bill_eur,baseline_bill_eur,c_star,c_star_avg,worst_month_eur_2023,worst_month_eur_2024,worst_month_eur_2025,loss_month_prob_2023,loss_month_prob_2024,loss_month_prob_2025,worst_month_eur_pooled,loss_month_prob_pooled
C,T4,automated,2023,2093.747271994675,2696.8199999999997,603.0727280053247,373.8350588738299,-29.921127518237626,-12.28413572101772,9.842017412285742,0.0,0.0,0.08333333333333333,9.842017412285742,0.027777777777777776
C,T4,automated,2024,1923.8870807465,2288.82,364.93291925350013,373.8350588738299,-29.921127518237626,-12.28413572101772,9.842017412285742,0.0,0.0,0.08333333333333333,9.842017412285742,0.027777777777777776
C,T4,automated,2025,2081.320470637335,2234.8199999999997,153.49952936266482,373.8350588738299,-29.921127518237626,-12.28413572101772,9.842017412285742,0.0,0.0,0.08333333333333333,9.842017412285742,0.027777777777777776
C,T4,passive,2023,2601.3538064809763,2696.8199999999997,95.46619351902336,-130.96624826658095,8.722252714639069,31.05675117281791,47.88991227187475,0.16666666666666666,0.8333333333333334,1.0,47.88991227187475,0.6666666666666666
C,T4,passive,2024,2427.253920318418,2288.82,-138.43392031841768,-130.96624826658095,8.722252714639069,31.05675117281791,47.88991227187475,0.16666666666666666,0.8333333333333334,1.0,47.88991227187475,0.6666666666666666
C,T4,passive,2025,2584.7510180003483,2234.8199999999997,-349.93101800034856,-130.96624826658095,8.722252714639069,31.05675117281791,47.88991227187475,0.16666666666666666,0.8333333333333334,1.0,47.88991227187475,0.6666666666666666
D,T1,automated,2023,4576.82,4576.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,T1,automated,2024,3896.82,3896.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,T1,automated,2025,3806.8199999999997,3806.8199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,T1,passive,2023,4576.82,4576.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,T1,passive,2024,3896.82,3896.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,T1,passive,2025,3806.8199999999997,3806.8199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,T2,automated,2023,3561.0783989001625,4576.82,1015.7416010998372,502.855675505614,-51.52631173749589,-4.40594209351633,37.52023794577008,0.0,0.0,0.16666666666666666,37.52023794577008,0.05555555555555555
D,T2,automated,2024,3498.7558559206022,3896.82,398.0641440793979,502.855675505614,-51.52631173749589,-4.40594209351633,37.52023794577008,0.0,0.0,0.16666666666666666,37.52023794577008,0.05555555555555555
D,T2,automated,2025,3712.058718662393,3806.8199999999997,94.76128133760676,502.855675505614,-51.52631173749589,-4.40594209351633,37.52023794577008,0.0,0.0,0.16666666666666666,37.52023794577008,0.05555555555555555
D,T2,passive,2023,3782.6492160137323,4576.82,794.1707839862675,277.0787464651862,-28.81825950204228,19.888763239326124,57.05515349031839,0.0,0.16666666666666666,0.75,57.05515349031839,0.3055555555555556
D,T2,passive,2024,3722.268062305833,3896.82,174.551937694167,277.0787464651862,-28.81825950204228,19.888763239326124,57.05515349031839,0.0,0.16666666666666666,0.75,57.05515349031839,0.3055555555555556
D,T2,passive,2025,3944.3064822848755,3806.8199999999997,-137.48648228487582,277.0787464651862,-28.81825950204228,19.888763239326124,57.05515349031839,0.0,0.16666666666666666,0.75,57.05515349031839,0.3055555555555556
D,T3_AWA,automated,2023,3828.453398900162,4576.82,748.3666010998377,235.48067550561427,-36.745109794749766,24.471993460957037,67.84548177077068,0.0,0.16666666666666666,0.75,67.84548177077068,0.3055555555555556
D,T3_AWA,automated,2024,3766.1308559206022,3896.82,130.68914407939792,235.48067550561427,-36.745109794749766,24.471993460957037,67.84548177077068,0.0,0.16666666666666666,0.75,67.84548177077068,0.3055555555555556
D,T3_AWA,automated,2025,3979.4337186623925,3806.8199999999997,-172.61371866239278,235.48067550561427,-36.745109794749766,24.471993460957037,67.84548177077068,0.0,0.16666666666666666,0.75,67.84548177077068,0.3055555555555556
D,T3_AWA,passive,2023,4050.024216013732,4576.82,526.7957839862679,9.703746465186365,-13.768442810889894,48.766698793799435,87.38039731531899,0.0,0.6666666666666666,1.0,87.38039731531899,0.5555555555555556
D,T3_AWA,passive,2024,3989.643062305833,3896.82,-92.82306230583299,9.703746465186365,-13.768442810889894,48.766698793799435,87.38039731531899,0.0,0.6666666666666666,1.0,87.38039731531899,0.5555555555555556
